website;m;pos;adstart;adfirst;admid;adthird;adcomplete;adclick;adpaused;adresume
57;6;0;43;38;35;33;32;0;0;0
57;12;3;10;10;10;10;10;0;0;0
57;10;3;6;5;5;5;5;0;0;0
57;9;0;1;1;1;1;1;0;0;0
68;3;0;1;1;1;0;0;0;0;0
108;3;0;2;2;2;2;2;0;0;0
108;1;0;3;3;3;3;2;0;0;0
108;11;0;4;4;4;4;4;0;0;0
108;9;0;1;1;1;1;1;0;0;0
108;10;0;4;3;3;3;3;0;0;0
108;1;0;2;2;2;2;2;0;0;0
108;12;0;2;1;1;1;1;0;0;0
114;11;0;4;3;2;2;2;0;0;0
114;4;3;3;3;3;3;3;0;0;0
114;3;0;1;1;1;1;1;0;0;0
114;3;0;3;3;3;3;3;0;0;0
114;5;1;1;0;0;0;0;0;0;0
114;8;1;2;1;1;1;1;0;0;0
114;7;0;1;1;1;1;1;0;0;0
114;5;0;2;2;2;2;2;0;0;0
114;9;0;2;2;1;1;1;1;1;0
114;3;0;1;1;1;1;1;0;0;0
114;5;0;1;1;1;1;1;0;0;0
114;6;0;1;1;1;1;1;0;0;0
114;7;0;1;1;1;1;1;0;0;0
114;11;0;1;1;1;1;1;0;0;0
114;4;0;1;1;1;1;1;0;0;0
115;8;3;1;1;1;1;1;0;0;0
115;9;0;1;1;1;1;1;0;0;0
117;1;0;3;2;2;1;1;0;0;0
117;9;0;1;1;1;1;1;0;0;0
117;3;0;1;0;0;0;0;0;0;0
117;2;0;4;2;1;1;1;0;0;0
117;12;0;1;1;1;1;1;0;0;0
117;12;0;1;1;1;1;1;0;0;0
131;11;0;5;5;5;5;3;0;0;0
131;5;0;1;1;1;1;1;0;0;0
315;2;0;292;239;215;190;175;0;0;0
315;10;0;7;7;5;5;3;0;0;0
315;7;0;10;8;7;6;6;0;0;0
315;3;0;4;3;3;2;2;0;0;0
315;7;1;2;1;0;0;0;2;1;0
315;1;0;16;14;14;13;12;0;0;0
315;12;0;1;1;1;0;0;0;0;0
315;4;0;26;23;17;15;14;5;4;0
315;9;4;16;16;15;14;11;0;0;0
315;5;0;2;1;1;1;1;1;0;0
315;8;0;52;40;34;31;22;5;2;0
315;8;0;917;786;688;607;551;0;0;2
315;3;0;110;102;98;91;86;3;1;0
315;12;3;3;3;2;2;2;0;0;0
315;10;0;15;11;11;9;9;5;4;0
315;12;0;1;1;1;1;1;0;0;0
315;12;0;94;62;48;42;36;0;0;0
315;9;0;40;35;33;28;24;0;0;0
315;12;0;4;2;2;1;1;0;0;0
315;2;0;10;8;8;7;6;0;0;0
315;4;0;2;0;0;0;0;1;1;0
315;1;0;142;118;95;76;65;30;17;0
315;5;0;2;2;2;2;2;0;0;0
315;6;0;1;1;1;1;1;0;0;0
315;5;0;3;1;1;1;1;0;0;0
315;11;0;7;6;6;6;5;0;0;0
315;6;0;4;4;4;4;4;0;0;0
315;5;0;1;1;1;1;1;0;0;0
315;8;1;14;9;7;7;6;0;0;0
315;3;0;1;1;1;1;1;0;0;0
315;11;3;1;1;1;1;1;0;0;0
315;2;1;1;1;1;1;1;0;0;0
315;12;0;19;19;17;17;17;0;0;0
315;10;1;1;1;1;1;1;0;0;0
315;4;0;7;7;7;6;6;0;0;0
315;1;0;3;3;3;3;3;0;0;0
315;11;0;2;2;2;2;2;0;0;0
315;10;2;4;3;3;3;2;0;0;0
315;10;0;18;15;13;11;9;5;5;0
315;10;0;18;0;0;0;0;0;0;0
315;2;4;6;0;0;0;0;0;0;0
315;6;1;2;2;2;2;2;0;0;0
315;2;0;3;3;1;1;1;0;0;0
315;11;0;1;1;0;0;0;0;0;0
315;9;0;1;1;1;1;1;1;1;0
315;5;0;1;0;0;0;0;0;0;0
315;2;0;3;3;3;3;3;0;0;0
315;5;0;1;1;1;1;1;0;0;0
315;5;0;1;1;1;1;1;0;0;0
315;10;0;3;3;3;1;1;0;0;0
315;9;2;1;1;0;0;0;1;0;0
315;11;0;3;2;2;2;2;0;0;0
315;7;0;1;1;1;0;0;0;0;0
315;2;0;1;1;1;1;1;0;0;0
315;10;0;1;1;0;0;0;1;0;0
315;10;0;2;2;2;1;1;0;0;0
315;8;0;3;3;3;3;3;0;0;0
315;10;0;2;0;0;0;0;0;0;0
315;7;0;1;0;0;0;0;0;0;0
315;8;1;2;1;1;1;0;0;0;0
315;7;0;1;1;1;1;0;1;0;0
315;1;2;1;1;1;1;1;0;0;0
315;2;0;2;2;2;2;2;0;0;0
315;1;0;1;1;1;0;0;0;0;0
492;9;0;22;21;20;17;16;12;11;0
492;5;2;40;37;35;32;29;11;2;0
492;8;4;1;1;1;1;0;1;0;0
492;12;0;1;0;0;0;0;0;0;0
492;4;0;2;2;2;2;2;0;0;0
492;6;0;30;26;24;21;19;13;3;0
492;10;0;427;379;333;310;278;147;56;0
492;4;0;5;3;3;3;2;1;0;0
492;2;0;2;2;2;2;2;0;0;0
492;5;0;27;22;22;19;16;11;4;0
492;3;0;474;399;342;296;255;209;57;0
492;12;3;9;6;5;4;4;0;0;0
492;11;0;1;0;0;0;0;0;0;0
492;9;0;1;0;0;0;0;0;0;0
492;11;0;1;1;1;0;0;0;0;0
492;11;0;187;163;150;143;136;50;39;0
492;3;0;1;1;1;1;1;0;0;0
492;12;3;9;9;9;8;8;2;2;0
492;8;0;140;134;126;117;106;36;16;0
492;11;0;111;100;88;81;72;28;8;0
492;12;2;21;17;14;14;12;1;1;0
492;5;1;248;208;180;157;149;618;527;0
492;2;0;5;5;5;4;4;0;0;0
492;4;0;18;17;17;16;15;0;0;0
492;7;0;1;1;1;1;1;0;0;0
492;11;4;1;1;1;1;1;0;0;0
492;11;0;1;0;0;0;0;1;1;0
492;1;0;1;1;1;1;0;1;0;0
492;8;0;1;0;0;0;0;1;0;0
492;6;0;1;1;1;1;1;1;1;0
492;4;4;1;1;1;1;1;0;0;0
492;2;0;100;76;65;57;49;30;6;0
492;5;0;1;0;0;0;0;0;0;0
492;12;0;1;1;0;0;0;1;0;0
492;5;4;1;1;1;0;0;1;0;0
492;8;0;1;0;0;0;0;1;0;0
492;10;1;2;2;2;2;1;1;0;0
492;6;0;124;107;93;86;80;33;11;0
492;12;0;5;4;4;4;4;4;4;0
492;12;3;73;54;47;40;39;36;16;0
492;4;4;1;1;1;1;1;0;0;0
492;7;0;2;2;2;2;2;0;0;0
492;5;0;1;1;0;0;0;0;0;0
492;5;0;351;308;291;264;241;69;21;0
492;1;0;68;60;53;51;49;14;0;0
492;9;0;1;1;1;1;1;0;0;0
492;8;3;20;16;12;12;11;4;0;0
492;1;0;1;0;0;0;0;1;1;0
492;5;0;4;2;2;1;1;2;0;0
492;12;3;2;2;2;1;1;1;0;0
492;4;0;69;56;52;44;43;11;3;0
492;3;1;113;91;69;64;57;88;43;0
492;7;0;5;5;5;2;2;3;0;0
492;12;0;9;8;7;7;7;2;0;0
492;4;0;16;11;9;8;7;5;2;0
492;10;0;78;62;52;49;43;26;4;0
492;10;0;8;6;5;2;2;5;2;0
492;4;0;84;76;67;63;61;20;6;0
492;10;0;2;2;2;2;2;0;0;0
492;6;0;1;1;0;0;0;0;0;0
492;9;0;28;24;19;16;15;20;10;0
492;9;0;34;28;24;20;19;16;2;0
492;8;3;32;24;19;17;14;15;5;0
492;2;0;1;1;1;1;1;1;1;0
492;11;0;17;15;15;13;13;4;4;0
492;5;0;123;91;77;67;63;54;9;0
492;3;0;1;1;1;0;0;1;0;0
492;1;1;3;3;3;3;3;0;0;0
492;9;0;1;1;1;1;1;0;0;0
492;10;0;1;1;1;1;0;0;0;0
492;1;4;1;1;1;1;1;0;0;0
492;8;0;30;29;25;23;22;8;0;0
492;4;0;77;68;61;57;50;49;33;0
492;9;0;14;12;12;6;5;6;2;0
492;3;1;136;121;101;91;79;56;18;0
492;10;1;5;5;4;4;3;0;0;0
492;6;1;24;25;25;22;22;4;4;0
492;12;0;11;9;8;8;8;2;1;0
492;3;0;47;38;34;32;28;18;9;0
492;6;0;3;2;2;2;1;1;1;0
492;2;4;9;8;4;4;4;9;4;0
492;12;2;2;2;2;2;2;0;1;0
492;11;0;31;29;27;25;21;9;1;0
492;4;0;18;17;16;13;13;5;2;0
492;9;0;6;5;5;3;3;1;0;0
492;11;1;2;2;2;2;2;0;0;0
492;8;0;3;3;3;3;3;0;0;0
492;8;0;67;60;50;48;44;30;10;0
492;4;0;20;18;17;17;14;3;0;0
492;2;3;13;11;10;9;8;4;1;0
492;12;0;9;8;6;2;0;1;1;0
