Witryna,Pozycja w bloku reklamowym,Wystartowane reklamy,Obejrzane w 25%,Obejrzane w 50%,Obejrzane w 75%,Obejrzane w 100%,Kliknięcia reklamy,Zapauzowanie reklamy,Wznowienie reklamy
57,0,43,38,35,33,32,0,0,0
57,0,10,10,10,10,10,0,0,0
57,0,6,5,5,5,5,0,0,0
57,0,1,1,1,1,1,0,0,0
68,0,1,1,1,0,0,0,0,0
108,0,2,2,2,2,2,0,0,0
108,0,3,3,3,3,2,0,0,0
108,0,4,4,4,4,4,0,0,0
108,0,1,1,1,1,1,0,0,0
108,0,4,3,3,3,3,0,0,0
108,0,2,2,2,2,2,0,0,0
108,0,2,1,1,1,1,0,0,0
114,0,4,3,2,2,2,0,0,0
114,0,3,3,3,3,3,0,0,0
114,0,1,1,1,1,1,0,0,0
114,0,3,3,3,3,3,0,0,0
114,0,1,0,0,0,0,0,0,0
114,0,2,1,1,1,1,0,0,0
114,0,1,1,1,1,1,0,0,0
114,0,2,2,2,2,2,0,0,0
114,0,2,2,1,1,1,1,1,0
114,0,1,1,1,1,1,0,0,0
114,0,1,1,1,1,1,0,0,0
114,0,1,1,1,1,1,0,0,0
114,0,1,1,1,1,1,0,0,0
114,0,1,1,1,1,1,0,0,0
114,0,1,1,1,1,1,0,0,0
115,0,1,1,1,1,1,0,0,0
115,0,1,1,1,1,1,0,0,0
117,0,3,2,2,1,1,0,0,0
117,0,1,1,1,1,1,0,0,0
117,0,1,0,0,0,0,0,0,0
117,0,4,2,1,1,1,0,0,0
117,0,1,1,1,1,1,0,0,0
117,0,1,1,1,1,1,0,0,0
131,0,5,5,5,5,3,0,0,0
131,0,1,1,1,1,1,0,0,0
315,0,292,239,215,190,175,0,0,0
315,0,7,7,5,5,3,0,0,0
315,0,10,8,7,6,6,0,0,0
315,0,4,3,3,2,2,0,0,0
315,0,2,1,0,0,0,2,1,0
315,0,16,14,14,13,12,0,0,0
315,0,1,1,1,0,0,0,0,0
315,0,26,23,17,15,14,5,4,0
315,0,16,16,15,14,11,0,0,0
315,0,2,1,1,1,1,1,0,0
315,0,52,40,34,31,22,5,2,0
315,0,917,786,688,607,551,0,0,2
315,0,110,102,98,91,86,3,1,0
315,0,3,3,2,2,2,0,0,0
315,0,15,11,11,9,9,5,4,0
315,0,1,1,1,1,1,0,0,0
315,0,94,62,48,42,36,0,0,0
315,0,40,35,33,28,24,0,0,0
315,0,4,2,2,1,1,0,0,0
315,0,10,8,8,7,6,0,0,0
315,0,2,0,0,0,0,1,1,0
315,0,142,118,95,76,65,30,17,0
315,0,2,2,2,2,2,0,0,0
315,0,1,1,1,1,1,0,0,0
315,0,3,1,1,1,1,0,0,0
315,0,7,6,6,6,5,0,0,0
315,0,4,4,4,4,4,0,0,0
315,0,1,1,1,1,1,0,0,0
315,0,14,9,7,7,6,0,0,0
315,0,1,1,1,1,1,0,0,0
315,0,1,1,1,1,1,0,0,0
315,0,1,1,1,1,1,0,0,0
315,0,19,19,17,17,17,0,0,0
315,0,1,1,1,1,1,0,0,0
315,0,7,7,7,6,6,0,0,0
315,0,3,3,3,3,3,0,0,0
315,0,2,2,2,2,2,0,0,0
315,0,4,3,3,3,2,0,0,0
315,0,18,15,13,11,9,5,5,0
315,0,18,0,0,0,0,0,0,0
315,0,6,0,0,0,0,0,0,0
315,0,2,2,2,2,2,0,0,0
315,0,3,3,1,1,1,0,0,0
315,0,1,1,0,0,0,0,0,0
315,0,1,1,1,1,1,1,1,0
315,0,1,0,0,0,0,0,0,0
315,0,3,3,3,3,3,0,0,0
315,0,1,1,1,1,1,0,0,0
315,0,1,1,1,1,1,0,0,0
315,0,3,3,3,1,1,0,0,0
315,0,1,1,0,0,0,1,0,0
315,0,3,2,2,2,2,0,0,0
315,0,1,1,1,0,0,0,0,0
315,0,1,1,1,1,1,0,0,0
315,0,1,1,0,0,0,1,0,0
315,0,2,2,2,1,1,0,0,0
315,0,3,3,3,3,3,0,0,0
315,0,2,0,0,0,0,0,0,0
315,0,1,0,0,0,0,0,0,0
315,0,2,1,1,1,0,0,0,0
315,0,1,1,1,1,0,1,0,0
315,0,1,1,1,1,1,0,0,0
315,0,2,2,2,2,2,0,0,0
315,0,1,1,1,0,0,0,0,0
492,0,22,21,20,17,16,12,11,0
492,0,40,37,35,32,29,11,2,0
492,0,1,1,1,1,0,1,0,0
492,0,1,0,0,0,0,0,0,0
492,0,2,2,2,2,2,0,0,0
492,0,30,26,24,21,19,13,3,0
492,0,427,379,333,310,278,147,56,0
492,0,5,3,3,3,2,1,0,0
492,0,2,2,2,2,2,0,0,0
492,0,27,22,22,19,16,11,4,0
492,0,474,399,342,296,255,209,57,0
492,0,9,6,5,4,4,0,0,0
492,0,1,0,0,0,0,0,0,0
492,0,1,0,0,0,0,0,0,0
492,0,1,1,1,0,0,0,0,0
492,0,187,163,150,143,136,50,39,0
492,0,1,1,1,1,1,0,0,0
492,0,9,9,9,8,8,2,2,0
492,0,140,134,126,117,106,36,16,0
492,0,111,100,88,81,72,28,8,0
492,0,21,17,14,14,12,1,1,0
492,0,248,208,180,157,149,618,527,0
492,0,5,5,5,4,4,0,0,0
492,0,18,17,17,16,15,0,0,0
492,0,1,1,1,1,1,0,0,0
492,0,1,1,1,1,1,0,0,0
492,0,1,0,0,0,0,1,1,0
492,0,1,1,1,1,0,1,0,0
492,0,1,0,0,0,0,1,0,0
492,0,1,1,1,1,1,1,1,0
492,0,1,1,1,1,1,0,0,0
492,0,100,76,65,57,49,30,6,0
492,0,1,0,0,0,0,0,0,0
492,0,1,1,0,0,0,1,0,0
492,0,1,1,1,0,0,1,0,0
492,0,1,0,0,0,0,1,0,0
492,0,2,2,2,2,1,1,0,0
492,0,124,107,93,86,80,33,11,0
492,0,5,4,4,4,4,4,4,0
492,0,73,54,47,40,39,36,16,0
492,0,1,1,1,1,1,0,0,0
492,0,2,2,2,2,2,0,0,0
492,0,1,1,0,0,0,0,0,0
492,0,351,308,291,264,241,69,21,0
492,0,68,60,53,51,49,14,0,0
492,0,1,1,1,1,1,0,0,0
492,0,20,16,12,12,11,4,0,0
492,0,1,0,0,0,0,1,1,0
492,0,4,2,2,1,1,2,0,0
492,0,2,2,2,1,1,1,0,0
492,0,69,56,52,44,43,11,3,0
492,0,113,91,69,64,57,88,43,0
492,0,5,5,5,2,2,3,0,0
492,0,9,8,7,7,7,2,0,0
492,0,16,11,9,8,7,5,2,0
492,0,78,62,52,49,43,26,4,0
492,0,8,6,5,2,2,5,2,0
492,0,84,76,67,63,61,20,6,0
492,0,2,2,2,2,2,0,0,0
492,0,1,1,0,0,0,0,0,0
492,0,28,24,19,16,15,20,10,0
492,0,34,28,24,20,19,16,2,0
492,0,32,24,19,17,14,15,5,0
492,0,1,1,1,1,1,1,1,0
492,0,17,15,15,13,13,4,4,0
492,0,123,91,77,67,63,54,9,0
492,0,1,1,1,0,0,1,0,0
492,1,3,3,3,3,3,0,0,0
492,0,1,1,1,1,1,0,0,0
492,0,1,1,1,1,0,0,0,0
492,0,1,1,1,1,1,0,0,0
492,0,30,29,25,23,22,8,0,0
492,0,77,68,61,57,50,49,33,0
492,0,14,12,12,6,5,6,2,0
492,0,136,121,101,91,79,56,18,0
492,0,5,5,4,4,3,0,0,0
492,0,24,25,25,22,22,4,4,0
492,0,11,9,8,8,8,2,1,0
492,0,47,38,34,32,28,18,9,0
492,0,3,2,2,2,1,1,1,0
492,0,9,8,4,4,4,9,4,0
492,0,2,2,2,2,2,0,1,0
492,0,31,29,27,25,21,9,1,0
492,0,18,17,16,13,13,5,2,0
492,0,6,5,5,3,3,1,0,0
492,0,2,2,2,2,2,0,0,0
492,0,3,3,3,3,3,0,0,0
492,0,67,60,50,48,44,30,10,0
492,0,20,18,17,17,14,3,0,0
492,0,13,11,10,9,8,4,1,0
492,0,9,8,6,2,0,1,1,0
492,0,2,2,2,2,2,0,0,0
492,0,5,3,3,3,3,2,0,0
492,0,28,21,18,17,17,5,0,0
492,0,12,10,9,9,9,2,0,0
492,0,47,47,47,43,41,2,3,0
492,0,8,7,6,6,5,3,0,0
492,0,22,19,16,16,14,2,0,0
492,0,14,13,10,10,10,5,1,0
492,0,15,13,11,11,10,6,3,0
492,0,29,23,15,14,11,16,0,0
492,0,10,10,10,10,9,0,0,0
492,0,9,9,10,9,9,0,1,0
492,0,18,17,15,15,14,4,1,0
492,0,1,1,1,1,1,0,0,0
492,0,21,18,17,13,12,8,5,0
492,0,12,11,8,6,5,1,1,0
492,0,34,27,25,22,21,11,1,0
492,0,26,22,16,14,10,11,2,0
492,0,24,20,20,17,14,3,2,0
492,0,70,63,61,57,52,14,5,0
492,0,57,48,43,34,30,23,5,0
492,0,1,1,1,1,1,0,0,0
492,0,41,37,28,26,23,6,5,0
492,0,11,10,10,9,8,4,2,0
492,0,1,1,1,0,0,0,0,0
492,0,14,13,13,13,13,1,1,0
492,0,10,7,4,4,4,10,6,0
492,0,4,4,4,4,4,0,0,0
492,0,4,4,4,4,4,1,1,0
492,0,4,3,2,2,2,2,0,0
492,0,1,1,1,1,1,0,0,0
492,0,2,2,2,2,2,1,1,0
492,0,6,5,5,4,3,2,1,0
492,0,3,3,3,3,2,0,0,0
492,0,6,6,4,3,2,2,1,0
492,0,2,2,2,2,2,0,0,0
492,0,60,52,45,42,38,18,3,0
492,0,14,11,10,10,10,4,2,0
492,0,5,4,3,3,3,2,1,0
492,0,1,1,1,1,1,0,0,0
492,0,1,0,0,0,0,1,0,0
492,0,2,1,1,1,1,1,0,0
492,0,1,1,1,1,1,0,0,0
492,0,5,5,5,5,5,0,0,0
492,0,25,18,15,14,12,13,5,0
492,0,17,17,15,15,14,1,0,0
492,0,28,27,26,26,25,0,0,0
492,0,10,8,8,8,8,0,0,0
492,0,14,14,12,12,12,0,0,0
492,0,22,20,18,17,16,6,2,0
492,0,4,3,3,3,3,1,0,0
492,0,10,8,7,6,6,4,1,0
492,0,4,4,4,2,2,0,0,0
492,0,16,14,13,11,11,6,2,0
492,0,2,1,1,1,1,0,0,0
492,0,1,1,1,0,0,1,0,0
492,0,5,5,5,5,2,0,0,0
492,0,8,7,6,6,6,1,0,0
492,0,8,7,5,4,3,8,5,0
492,1,3,3,3,3,3,0,0,0
492,0,2,2,2,2,2,0,0,0
492,0,3,3,3,2,2,1,0,0
492,0,23,21,16,14,12,125,117,0
492,0,1,0,0,0,0,1,0,0
492,0,2,2,2,2,2,0,0,0
492,0,16,14,10,8,7,9,1,0
492,0,10,9,8,7,7,3,1,0
492,0,6,5,4,2,2,2,0,0
492,0,1,0,0,0,0,1,0,0
492,0,7,7,6,6,5,1,0,0
492,0,47,45,45,45,41,4,4,0
492,0,4,2,2,2,2,3,2,0
492,0,25,24,21,19,17,4,2,0
492,0,11,9,9,8,7,5,2,0
492,2,1,1,1,1,0,1,0,0
492,0,2,2,2,2,2,0,0,0
492,0,1,1,0,0,0,1,0,0
492,0,14,13,12,11,9,2,0,0
492,0,1,1,1,1,0,1,0,0
492,0,9,8,7,7,7,1,0,0
492,0,1,1,0,0,0,0,0,0
492,0,24,22,21,20,20,8,6,0
492,0,4,2,2,2,2,0,0,0
492,0,2,2,2,2,2,0,0,0
492,0,23,22,15,13,11,15,6,0
492,0,2,1,0,0,0,1,1,0
492,0,3,2,2,2,2,2,1,0
492,0,5,2,1,1,1,3,0,0
492,0,2,2,2,2,1,0,0,0
492,0,3,1,1,1,1,2,2,0
492,0,4,4,3,2,1,3,0,0
492,0,7,7,7,7,7,0,0,0
492,0,1,1,1,1,1,0,0,0
492,0,3,2,1,1,1,1,1,0
492,0,1,1,1,1,1,0,0,0
492,0,1,1,0,0,0,0,0,0
492,0,4,3,3,3,3,1,0,0
492,0,3,3,1,1,1,1,0,0
492,0,16,16,15,14,13,3,4,0
492,1,1,1,1,1,1,0,0,0
492,0,1,1,1,1,1,0,0,0
492,0,3,3,3,3,2,2,1,0
492,0,1,1,0,0,0,1,0,0
492,0,3,2,2,1,1,2,0,0
492,0,1,0,0,0,0,1,0,0
492,0,1,1,1,1,1,0,0,0
492,0,9,5,3,3,3,2,0,0
492,0,3,3,3,3,2,0,0,0
492,0,16,15,14,12,11,7,3,0
492,0,2,2,2,2,2,0,0,0
492,0,1,0,0,0,0,1,0,0
492,0,2,2,2,2,2,0,0,0
492,0,2,2,1,1,1,2,1,0
492,0,1,1,1,1,1,1,1,0
492,0,1,0,0,0,0,0,0,0
492,0,5,5,5,4,4,3,2,0
492,0,2,1,1,0,0,0,0,0
492,0,2,2,2,2,1,1,1,0
492,0,18,17,15,16,16,2,2,0
492,0,2,2,1,1,1,2,1,0
492,0,3,2,2,2,2,0,0,0
492,0,1,1,1,1,1,0,0,0
492,0,1,0,0,0,0,0,0,0
492,0,2,2,1,1,1,0,0,0
492,0,4,4,4,3,2,2,1,0
492,0,1,1,1,1,1,0,0,0
492,0,3,3,3,3,3,0,0,0
492,0,2,2,2,1,1,1,0,0
492,0,1,0,0,0,0,0,0,0
492,1,2,2,2,2,2,0,0,0
492,0,4,3,3,3,3,2,1,0
492,0,1,1,1,1,1,0,0,0
492,0,4,3,2,1,1,4,1,0
492,0,3,3,3,3,2,0,0,0
492,0,18,11,10,8,7,13,3,0
492,0,10,7,7,6,6,4,1,0
492,0,1,1,1,1,1,0,0,0
492,0,3,3,3,3,3,0,0,0
492,0,4,4,4,3,1,5,2,0
492,0,2,0,0,0,0,2,0,0
492,0,8,7,7,6,6,1,1,0
492,0,2,0,0,0,0,0,0,0
492,0,9,8,7,7,5,2,0,0
492,0,1,0,0,0,0,1,0,0
